TotalFinishedArea,LivingUnits,TotalAppraisedValue,SaleYear,SaleMonth,PriceRatio,AssrLandUse_APT FOUR,AssrLandUse_CONDOMINIMUM,AssrLandUse_MULTI DWLG,AssrLandUse_ONE FAMILY,AssrLandUse_THREE FAMILY,AssrLandUse_TWO FAMILY
1008.00001,1.0,179600,2021,9,1.0579064587973277,False,False,False,True,False,False
1168.5,1.0,140000,2022,9,1.2857142857142858,False,False,False,True,False,False
3052.0,2.0,146100,2023,9,1.026694045174538,False,False,False,False,False,True
2574.0,2.0,225900,2022,8,1.416555998229305,False,False,False,False,False,True
3925.5,3.0,270200,2021,10,1.073279052553664,False,False,False,False,True,False
1376.0,1.0,179100,2021,8,1.1166945840312674,False,False,False,True,False,False
1376.0,1.0,141400,2024,4,1.4144271570014144,False,False,False,True,False,False
2926.80001,2.0,297000,2020,12,0.9427609427609428,False,False,False,False,False,True
2926.80001,2.0,297000,2023,7,1.1784511784511784,False,False,False,False,False,True
3636.0,3.0,224000,2022,7,1.1160714285714286,False,False,False,False,True,False
3938.0,3.0,294800,2021,1,1.0010176390773406,False,False,False,False,True,False
3795.0,3.0,290800,2021,1,1.0828748280605227,False,False,False,False,True,False
2304.0,2.0,265500,2021,3,0.96045197740113,False,False,False,False,False,True
1999.0,2.0,260200,2024,6,1.1145272867025364,False,False,False,False,False,True
1368.0,1.0,218000,2023,4,1.146788990825688,False,False,False,True,False,False
1368.0,1.0,218000,2021,7,0.6967889908256881,False,False,False,True,False,False
1280.0,1.0,89800,2020,10,1.0022271714922049,False,True,False,False,False,False
3596.0,4.0,232800,2021,4,1.331615120274914,True,False,False,False,False,False
3596.0,4.0,232800,2021,4,1.331615120274914,True,False,False,False,False,False
1144.0,1.0,170400,2021,7,1.1150234741784038,False,False,False,True,False,False
1566.5,1.0,195600,2021,8,0.9202453987730062,False,False,False,True,False,False
3120.00001,2.0,271200,2022,9,1.1799410029498525,False,False,False,False,False,True
3122.40001,2.0,284400,2024,6,0.9915611814345991,False,False,False,False,False,True
3525.0,3.0,279800,2022,2,1.2151536812008576,False,False,False,False,True,False
3737.5,3.0,273500,2021,8,1.060329067641682,False,False,False,False,True,False
1075.20001,1.0,161100,2022,10,1.2849162011173183,False,False,False,True,False,False
2149.60001,1.0,228400,2024,6,1.2259194395796849,False,False,False,True,False,False
1587.0,1.0,180400,2021,10,1.1917960088691797,False,False,False,True,False,False
1301.125,1.0,188600,2021,12,1.1664899257688228,False,False,False,True,False,False
1056.0,1.0,123100,2024,8,1.340373679935012,False,False,False,True,False,False
3118.80001,2.0,236000,2023,8,1.240042372881356,False,False,False,False,False,True
1479.0,1.0,177000,2021,7,0.9322033898305084,False,False,False,True,False,False
976.00001,1.0,174300,2023,4,1.262191623637407,False,False,False,True,False,False
976.00001,1.0,174300,2022,9,0.6110154905335629,False,False,False,True,False,False
748.0,1.0,169500,2021,5,0.9085545722713864,False,False,False,True,False,False
664.0,1.0,159500,2024,1,1.2539184952978055,False,False,False,True,False,False
795.0,1.0,156400,2022,3,1.0549872122762147,False,False,False,True,False,False
712.0,1.0,148500,2022,11,0.7676767676767676,False,False,False,True,False,False
768.0,1.0,152200,2022,4,0.7687253613666228,False,False,False,True,False,False
768.0,1.0,152200,2023,2,1.2483574244415243,False,False,False,True,False,False
664.0,1.0,171300,2024,7,1.4594279042615297,False,False,False,True,False,False
664.0,1.0,171300,2023,5,0.6187974314068885,False,False,False,True,False,False
664.0,1.0,171300,2023,11,0.6771745475773496,False,False,False,True,False,False
1294.5,1.0,125000,2023,1,1.0,False,False,False,True,False,False
1294.5,1.0,125000,2021,12,0.78288,False,False,False,True,False,False
1041.60001,1.0,167800,2021,7,1.2276519666269368,False,False,False,True,False,False
1312.40001,1.0,176800,2021,1,1.0180995475113122,False,False,False,True,False,False
1239.0,1.0,193000,2021,8,1.1398963730569949,False,False,False,True,False,False
1277.0,1.0,172000,2021,7,1.0755813953488371,False,False,False,True,False,False
1456.0,1.0,224300,2022,8,1.1145786892554614,False,False,False,True,False,False
4014.475,3.0,364700,2021,6,0.8746915272826981,False,False,False,False,True,False
1124.0,1.0,182900,2023,12,1.366867140513942,False,False,False,True,False,False
3533.625,3.0,214300,2022,10,0.7652823145123658,False,False,False,False,True,False
2300.0,2.0,237000,2021,7,0.569620253164557,False,False,False,False,False,True
3319.5,3.0,281600,2020,10,0.9730113636363636,False,False,False,False,True,False
2780.0,3.0,245700,2023,7,1.3634513634513634,False,False,False,False,True,False
